Drop off location,Stake,Ward,No. of Volunteers-adults,No. of Volunteers-youth,No. of bags collected,Time taken,No. of homes,Did multiple routes,No. of routes,Neighbourhood,ID,Latitude,Longitude
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20,20,179.0,No,1,Blackmud Creek,1.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,15,45,135.0,No,1,Blackmud Creek,4.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,3,55,47,165.0,No,1,Blackmud Creek,12.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,35,60,148.0,No,1,Blackmud Creek,13.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,6,5,48,49,162.0,No,1,Blackmud Creek,16.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,15,60,100.0,No,1,Blackmud Creek,17.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,1,20,60,147.0,No,1,Blackmud Creek,20.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,3,37,60,206.0,No,1,Blackmud Creek,31.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,4,18,45,154.0,No,1,Blackmud Creek,34.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,50,45,240.0,No,1,Blackmud Creek,36.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,0,30,45,171.0,No,1,Blackmud Creek,45.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,4,5,14,30,,No,1,Blackmud Creek,,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,0,8,30,60.0,No,1,Blackmud Creek,47.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,4,9,32,75,178.0,No,1,Blackmud Creek,50.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,41,25,260.0,No,1,Blackmud Creek,55.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,42,30,95.0,No,1,Blackmud Creek,56.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,4,19,20,109.0,Yes,2,Blackmud Creek,57.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,12,20,178.0,Yes,2,Blackmud Creek,58.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,13,35,177.0,No,1,Blackmud Creek,62.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,19,45,100.0,No,1,Blackmud Creek,66.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,32,60,174.0,No,1,Blackmud Creek,67.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,16,20,67.0,No,1,Blackmud Creek,68.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20,60,123.0,No,1,Blackmud Creek,69.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,49,60,241.0,Yes,2,Blackmud Creek,70.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,21,40,109.0,No,1,Blackmud Creek,71.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,25,10,190.0,No,1,Blackmud Creek,72.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,4,40,35,155.0,No,1,Blackmud Creek,73.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,25,75,202.0,No,1,Blackmud Creek,74.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,5,3,24,40,157.0,No,1,Lee Ridge,3.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,37,30,144.0,Yes,2,Lee Ridge,5.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,8,60,162.0,No,1,Lee Ridge,7.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,0,15,45,15.0,No,1,Lee Ridge,9.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,2,15,55,158.0,No,1,Lee Ridge,10.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,7,0,17,40,170.0,No,1,Lee Ridge,11.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,4,3,26,30,148.0,No,1,Lee Ridge,14.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,4,24,40,169.0,No,1,Lee Ridge,23.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,4,0,24,40,155.0,No,1,Lee Ridge,24.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,20,50,158.0,No,1,Lee Ridge,26.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,44,75,125.0,No,1,Lee Ridge,28.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,22,35,207.0,Yes,2,Lee Ridge,29.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,4,30,45,160.0,No,1,Lee Ridge,33.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,1,20,60,161.0,No,1,Lee Ridge,35.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,21,35,139.0,No,1,Lee Ridge,37.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,30,40,165.0,Yes,2,Lee Ridge,38.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,35,40,172.0,Yes,2,Lee Ridge,39.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,0,23,60,163.0,No,1,Lee Ridge,40.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,32,30,157.0,No,1,Lee Ridge,44.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,3,4,14,60,147.0,Yes,2,Lee Ridge,48.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,3,4,25,35,166.0,Yes,2,Lee Ridge,49.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,0,2,20,120,163.0,Yes,2,Lee Ridge,51.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,0,2,20,60,168.0,Yes,2,Lee Ridge,52.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,0,18,120,40.0,Yes,2,Lee Ridge,53.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,3,0,22,65,158.0,Yes,2,Lee Ridge,54.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,2,15,45,162.0,Yes,2,Lee Ridge,59.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,2,25,45,160.0,No,1,Lee Ridge,60.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,14,60,147.0,No,1,Lee Ridge,61.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,3,2,68,112,466.0,Yes,3,Lee Ridge,63.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,28,70,142.0,No,1,Lee Ridge,76.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,4,17,25,141.0,No,1,Lee Ridge,187.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,4,16,20,147.0,Yes,2,Lee Ridge,199.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,2,32,35,173.0,No,1,Lee Ridge,226.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,1,36,40,145.0,No,1,Lee Ridge,234.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,3,30,35,30.0,No,1,Lee Ridge,241.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,3,23,58,23.0,No,1,Lee Ridge,253.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,1,44,60,168.0,No,1,Lee Ridge,259.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,0,20,55,25.0,No,1,Lee Ridge,261.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,2,20,45,151.0,No,1,Lee Ridge,287.0,53.4723207293446,-113.45028784542112
Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,2,35,80,330.0,Yes,2,Lee Ridge,293.0,53.4723207293446,-113.45028784542112
